mcc,country,cells,longitude,latitude,urls
286,Turkey,719189,31.2020692168708,39.6551248060804,lacells-mcc_286.csv
438,Turkmenistan,5964,58.3807255250843,38.2220709300514,lacells-mcc_438.csv
376,"Turks and Caicos Islands",165,-71.531946790979,21.4255613708065,lacells-mcc_376.csv
553,Tuvalu,1,179.194565,-8.524017,lacells-mcc_553.csv
641,Uganda,38624,31.8989981054327,0.744895561446248,lacells-mcc_641.csv
255,Ukraine,348247,30.1908636915461,49.3531476673176,lacells-mcc_255.csv
424,"United Arab Emirates",180586,55.2385271783883,24.9547228662569,lacells-mcc_424.csv
234,"United Kingdom",1768507,-1.05898297963139,52.1559928136968,lacells-mcc_234_a.csv lacells-mcc_234_b.csv lacells-mcc_234_c.csv
235,"United Kingdom",6,12.2238492245313,53.051179385,lacells-mcc_235.csv
310,"United States of America",5546103,-95.3774329338508,37.2074010844792,lacells-mcc_310_a.csv lacells-mcc_310_b.csv lacells-mcc_310_c.csv lacells-mcc_310_d.csv lacells-mcc_310_e.csv lacells-mcc_310_f.csv lacells-mcc_310_g.csv lacells-mcc_310_h.csv
311,"United States of America",1537567,-91.0660485623669,39.304972750526,lacells-mcc_311_a.csv lacells-mcc_311_b.csv
312,"United States of America",195031,-92.8934225643452,37.9300906975537,lacells-mcc_312.csv
316,"United States of America",453,-100.23213579096,39.0034674428386,lacells-mcc_316.csv
748,Uruguay,28054,-56.1735350511697,-34.4050782960148,lacells-mcc_748.csv
434,Uzbekistan,25049,68.8352492473273,41.0511847119452,lacells-mcc_434.csv
541,Vanuatu,502,168.288821201403,-17.6765508456387,lacells-mcc_541.csv
734,Venezuela,97531,-65.5678355363581,9.6105471766472,lacells-mcc_734.csv
452,Vietnam,293488,106.623538246428,13.0842095323378,lacells-mcc_452.csv
421,Yemen,4808,40.0537874237593,15.475983375017,lacells-mcc_421.csv
645,Zambia,31542,28.4147502073085,-14.502298667117,lacells-mcc_645.csv
648,Zimbabwe,35093,30.910617318114,-18.477350160784,lacells-mcc_648.csv
